genome	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC
FLYE-MetaBAT2Refined-group-group_240416.319	5039	4537	54	order	0.72	0.65	0.15	0.35	1.24	0.64	0.41	True
FLYE-MetaBAT2Refined-group-group_240416.320	4526	4219	24	class	0.89	0.83	0.09	0.12	0.27	0.66	0.55	True
FLYE-MetaBAT2Refined-group-group_240416.322	8895	7981	356	genus	0.69	0.62	0.15	0.64	2.77	0.74	0.46	True
FLYE-MetaBAT2Refined-group-group_240416.323	4772	4315	56	class	0.88	0.8	0.17	0.12	0.29	0.65	0.52	True
FLYE-MetaBAT2Refined-group-group_240416.335	4133	3384	63	order	0.5	0.41	0.14	0.43	1.85	0.51	0.21	True
FLYE-MetaBAT2Refined-group-group_240416.350	3911	3568	16	order	0.75	0.69	0.14	0.04	0.08	0.68	0.47	True
FLYE-MetaBAT2Refined-group-group_240416.367_sub	5466	4602	149	order	0.63	0.53	0.19	0.18	0.47	0.57	0.3	True
FLYE-MetaBAT2Refined-group-group_240416.382	7929	6973	226	phylum	0.94	0.83	0.22	0.06	0.12	0.61	0.5	True
FLYE-MetaBAT2Refined-group-group_240416.383	3708	3413	60	class	0.88	0.81	0.05	0.03	0.06	0.64	0.52	True
FLYE-MetaBAT2Refined-group-group_240416.401_sub	2624	2216	70	genus	0.68	0.57	0.31	0.07	0.15	0.64	0.37	True
FLYE-MetaBAT2Refined-group-group_240416.407	5544	4995	57	class	0.89	0.8	0.09	0.21	0.56	0.61	0.49	True
FLYE-MetaBAT2Refined-group-group_240416.408_sub	13898	11001	447	class	0.75	0.59	0.17	0.5	2.48	0.61	0.36	True
FLYE-MetaBAT2Refined-group-group_240416.419	3686	3386	22	class	0.89	0.81	0.06	0.14	0.35	0.6	0.49	True
FLYE-MetaBAT2Refined-group-group_240416.420	3898	3416	134	family	0.72	0.63	0.18	0.25	0.75	0.72	0.45	True
FLYE-MetaBAT2Refined-group-group_240416.427	9228	6702	286	phylum	0.9	0.65	0.09	0.26	0.71	0.56	0.36	True
FLYE-MetaBAT2Refined-group-group_240416.432	2705	2523	83	phylum	0.95	0.89	0.32	0.02	0.05	0.66	0.59	True
FLYE-MetaBAT2Refined-group-group_240416.434	914	824	19	class	0.92	0.83	0.05	0.04	0.09	0.64	0.53	True
FLYE-MetaBAT2Refined-group-group_240416.446	4776	3861	121	class	0.61	0.49	0.1	0.68	4.67	0.49	0.24	True
FLYE-MetaBAT2Refined-group-group_240416.454	2908	2631	84	class	0.9	0.82	0.11	0.16	0.38	0.63	0.52	True
FLYE-MetaBAT2Refined-group-group_240416.457_sub	3302	2896	193	phylum	0.92	0.81	0.29	0.03	0.07	0.68	0.55	True
FLYE-MetaBAT2Refined-group-group_240416.459_sub	5173	4754	44	family	0.57	0.52	0.13	0.16	0.41	0.65	0.34	True
FLYE-MetaBAT2Refined-group-group_240416.465	3600	3431	25	class	0.96	0.91	0.11	0.02	0.05	0.77	0.7	True
FLYE-MetaBAT2Refined-group-group_240416.469_sub	11323	7589	332	class	0.67	0.45	0.15	0.39	1.5	0.53	0.24	True
FLYE-MetaBAT2Refined-group-group_240416.483	4688	4267	75	genus	0.62	0.57	0.07	0.48	1.72	0.77	0.44	True
FLYE-MetaBAT2Refined-group-group_240416.493	8057	6830	237	class	0.92	0.78	0.09	0.22	0.61	0.62	0.48	True
FLYE-MetaBAT2Refined-group-group_240416.50	5801	4982	54	phylum	0.87	0.74	0.04	0.32	1.07	0.59	0.44	True
FLYE-MetaBAT2Refined-group-group_240416.517	3550	3032	136	order	0.61	0.52	0.14	0.7	4.5	0.58	0.3	True
FLYE-MetaBAT2Refined-group-group_240416.524	4506	3784	160	phylum	0.91	0.76	0.12	0.12	0.28	0.61	0.47	True
FLYE-MetaBAT2Refined-group-group_240416.53	6198	5325	40	kingdom	1.0	0.86	0.03	0.03	0.06	0.52	0.45	True
FLYE-MetaBAT2Refined-group-group_240416.530	3494	3100	95	phylum	0.88	0.78	0.25	0.18	0.43	0.64	0.5	True
FLYE-MetaBAT2Refined-group-group_240416.54_sub	5494	4503	182	family	0.51	0.42	0.15	0.85	9.85	0.58	0.24	True
FLYE-MetaBAT2Refined-group-group_240416.554	2318	1840	71	order	0.55	0.43	0.15	0.33	1.12	0.6	0.26	True
FLYE-MetaBAT2Refined-group-group_240416.572	3663	3352	25	phylum	0.88	0.8	0.05	0.05	0.1	0.57	0.46	True
FLYE-MetaBAT2Refined-group-group_240416.577	2841	2638	20	class	0.84	0.78	0.05	0.19	0.51	0.58	0.46	True
FLYE-MetaBAT2Refined-group-group_240416.579	3512	3344	32	phylum	0.98	0.93	0.16	0.03	0.07	0.8	0.75	True
FLYE-MetaBAT2Refined-group-group_240416.583	5242	4509	102	class	0.83	0.71	0.26	0.1	0.24	0.65	0.46	True
FLYE-MetaBAT2Refined-group-group_240416.586	3561	3266	55	class	0.94	0.86	0.11	0.12	0.27	0.69	0.59	True
FLYE-MetaBAT2Refined-group-group_240416.589_sub	7746	7057	242	family	0.79	0.72	0.16	0.19	0.52	0.8	0.58	True
FLYE-MetaBAT2Refined-group-group_240416.595	5170	3929	153	phylum	0.82	0.63	0.08	0.59	2.75	0.51	0.32	True
FLYE-MetaBAT2Refined-group-group_240416.61	4475	4120	80	genus	0.68	0.63	0.07	0.67	3.96	0.67	0.43	True
FLYE-MetaBAT2Refined-group-group_240416.616	6004	5147	76	phylum	0.86	0.74	0.09	0.32	1.05	0.58	0.43	True
FLYE-MetaBAT2Refined-group-group_240416.623	4615	4295	66	genus	0.5	0.46	0.09	0.55	2.3	0.72	0.33	True
FLYE-MetaBAT2Refined-group-group_240416.624	1871	1726	48	class	0.93	0.85	0.07	0.17	0.42	0.59	0.51	True
FLYE-MetaBAT2Refined-group-group_240416.681	5058	4751	55	order	0.93	0.88	0.04	0.17	0.44	0.73	0.64	True
FLYE-MetaBAT2Refined-group-group_240416.71	3150	2889	33	class	0.88	0.8	0.06	0.16	0.4	0.59	0.48	True
FLYE-MetaBAT2Refined-group-group_240416.722	4174	3595	12	class	0.78	0.67	0.02	0.58	2.75	0.53	0.36	True
FLYE-MetaBAT2Refined-group-group_240416.745_sub	5360	4566	234	class	0.88	0.75	0.35	0.06	0.13	0.66	0.5	True
FLYE-MetaBAT2Refined-group-group_240416.768	3119	2749	38	genus	0.56	0.49	0.05	0.54	2.65	0.66	0.32	True
FLYE-MetaBAT2Refined-group-group_240416.775	3351	2898	15	phylum	0.88	0.76	0.02	0.21	0.57	0.56	0.43	True
FLYE-MetaBAT2Refined-group-group_240416.776	3913	3665	23	class	0.95	0.89	0.02	0.03	0.06	0.71	0.63	True
FLYE-MetaBAT2Refined-group-group_240416.778_sub	5191	4525	205	class	0.89	0.77	0.11	0.18	0.47	0.6	0.47	True
FLYE-MetaBAT2Refined-group-group_240416.785_sub	7412	6647	83	family	0.5	0.45	0.07	0.77	6.78	0.59	0.26	True
FLYE-MetaBAT2Refined-group-group_240416.789	9089	6175	189	kingdom	1.0	0.68	0.07	0.02	0.04	0.48	0.33	True
FLYE-MetaBAT2Refined-group-group_240416.8	2586	2443	25	class	0.93	0.88	0.25	0.03	0.06	0.73	0.64	True
FLYE-MetaBAT2Refined-group-group_240416.819	4571	3945	61	class	0.91	0.78	0.05	0.24	0.67	0.59	0.46	True
FLYE-MetaBAT2Refined-group-group_240416.82	3751	3423	11	order	0.73	0.67	0.03	0.68	4.53	0.57	0.38	True
FLYE-MetaBAT2Refined-group-group_240416.820	3166	2884	14	class	0.93	0.85	0.03	0.09	0.19	0.64	0.54	True
FLYE-MetaBAT2Refined-group-group_240416.823_sub	3530	2857	132	family	0.61	0.5	0.18	0.28	0.83	0.65	0.32	True
FLYE-MetaBAT2Refined-group-group_240416.828_sub	9748	8164	284	phylum	0.92	0.77	0.25	0.08	0.17	0.55	0.42	True
FLYE-MetaBAT2Refined-group-group_240416.833	4451	3803	10	class	0.78	0.66	0.03	0.67	3.42	0.54	0.36	True
FLYE-MetaBAT2Refined-group-group_240416.88	3613	3437	48	order	0.93	0.89	0.1	0.03	0.07	0.7	0.62	True
FLYE-MetaBAT2Refined-group-group_240416.90	4139	3869	45	genus	0.71	0.66	0.13	0.24	0.66	0.79	0.52	True
FLYE-MetaBAT2Refined-group-group_240416.92	2610	2195	31	family	0.59	0.5	0.07	0.66	4.45	0.58	0.29	True
FLYE-MetaBinnerRefined-group-group_240416.1	4936	4369	37	phylum	0.92	0.82	0.15	0.1	0.22	0.54	0.44	True
FLYE-MetaBinnerRefined-group-group_240416.10	4008	3726	20	family	0.92	0.85	0.21	0.02	0.05	0.7	0.59	True
FLYE-MetaBinnerRefined-group-group_240416.104	5021	4279	160	class	0.85	0.72	0.29	0.05	0.11	0.63	0.45	True
FLYE-MetaBinnerRefined-group-group_240416.108	2218	1987	105	phylum	0.98	0.88	0.21	0.02	0.05	0.72	0.63	True
FLYE-MetaBinnerRefined-group-group_240416.11	4005	3725	23	class	0.94	0.88	0.06	0.04	0.09	0.69	0.61	True
FLYE-MetaBinnerRefined-group-group_240416.111	6616	5743	125	phylum	0.89	0.77	0.23	0.07	0.15	0.63	0.48	True
FLYE-MetaBinnerRefined-group-group_240416.113_sub	2855	2442	61	family	0.57	0.49	0.28	0.2	0.54	0.66	0.32	True
FLYE-MetaBinnerRefined-group-group_240416.119	4829	4180	190	class	0.81	0.7	0.16	0.06	0.14	0.64	0.45	True
FLYE-MetaBinnerRefined-group-group_240416.12	3807	3406	91	class	0.94	0.84	0.14	0.09	0.21	0.63	0.53	True
FLYE-MetaBinnerRefined-group-group_240416.122_sub	4253	3205	101	phylum	0.87	0.65	0.07	0.4	1.54	0.54	0.35	True
FLYE-MetaBinnerRefined-group-group_240416.126_sub	5685	4793	171	class	0.84	0.71	0.15	0.27	0.81	0.58	0.41	True
FLYE-MetaBinnerRefined-group-group_240416.128_sub	4591	3554	234	phylum	0.87	0.68	0.21	0.43	1.7	0.55	0.37	True
FLYE-MetaBinnerRefined-group-group_240416.129_sub	8034	5936	480	class	0.69	0.51	0.66	0.75	4.68	0.61	0.31	False
FLYE-MetaBinnerRefined-group-group_240416.134	5226	3853	142	phylum	0.74	0.55	0.06	0.76	6.74	0.52	0.28	True
FLYE-MetaBinnerRefined-group-group_240416.137_sub	5198	4476	257	phylum	0.89	0.77	0.36	0.03	0.07	0.61	0.47	True
FLYE-MetaBinnerRefined-group-group_240416.138_sub	7668	6163	286	phylum	0.92	0.74	0.12	0.05	0.1	0.58	0.43	True
FLYE-MetaBinnerRefined-group-group_240416.147	2439	2160	39	genus	0.66	0.58	0.53	0.62	2.47	0.81	0.47	False
FLYE-MetaBinnerRefined-group-group_240416.148	8475	6560	350	order	0.58	0.45	0.16	0.37	1.26	0.62	0.28	True
FLYE-MetaBinnerRefined-group-group_240416.152	8052	6396	130	order	0.56	0.45	0.08	0.67	3.93	0.56	0.25	True
FLYE-MetaBinnerRefined-group-group_240416.154_sub	5929	4737	243	class	0.86	0.69	0.27	0.16	0.39	0.68	0.47	True
FLYE-MetaBinnerRefined-group-group_240416.159	3357	2883	82	order	0.85	0.73	0.16	0.09	0.21	0.67	0.49	True
FLYE-MetaBinnerRefined-group-group_240416.16	3692	3134	57	phylum	0.93	0.79	0.07	0.03	0.06	0.61	0.48	True
FLYE-MetaBinnerRefined-group-group_240416.163_sub	3616	2123	145	class	0.69	0.4	0.31	0.37	1.39	0.58	0.23	True
FLYE-MetaBinnerRefined-group-group_240416.179_sub	3950	3208	174	phylum	0.89	0.72	0.37	0.07	0.14	0.61	0.44	True
FLYE-MetaBinnerRefined-group-group_240416.184	3687	3088	42	phylum	0.87	0.73	0.06	0.18	0.44	0.57	0.42	True
FLYE-MetaBinnerRefined-group-group_240416.19	6075	4851	74	phylum	0.9	0.72	0.08	0.13	0.31	0.6	0.43	True
FLYE-MetaBinnerRefined-group-group_240416.192_sub	5485	4372	256	phylum	0.9	0.72	0.62	0.12	0.28	0.63	0.45	False
FLYE-MetaBinnerRefined-group-group_240416.195	4491	3560	59	class	0.65	0.52	0.06	0.54	2.47	0.54	0.28	True
FLYE-MetaBinnerRefined-group-group_240416.20	4575	3998	72	family	0.66	0.57	0.17	0.11	0.25	0.61	0.35	True
FLYE-MetaBinnerRefined-group-group_240416.213_sub	8287	5947	321	order	0.56	0.4	0.39	0.51	2.02	0.62	0.25	True
FLYE-MetaBinnerRefined-group-group_240416.234_sub	3803	2759	228	kingdom	1.0	0.73	0.11	0.02	0.04	0.54	0.39	True
FLYE-MetaBinnerRefined-group-group_240416.237_sub	6565	5440	281	phylum	0.92	0.77	0.73	0.03	0.06	0.66	0.5	False
FLYE-MetaBinnerRefined-group-group_240416.245	7259	5460	281	class	0.6	0.45	0.15	0.54	2.35	0.52	0.24	True
FLYE-MetaBinnerRefined-group-group_240416.252_sub	7110	5298	260	class	0.65	0.49	0.18	0.47	1.97	0.58	0.28	True
FLYE-MetaBinnerRefined-group-group_240416.26	4290	3422	92	phylum	0.85	0.68	0.09	0.32	1.07	0.59	0.4	True
FLYE-MetaBinnerRefined-group-group_240416.28	3052	2488	60	phylum	0.76	0.62	0.07	0.52	2.49	0.52	0.33	True
FLYE-MetaBinnerRefined-group-group_240416.30	7114	5403	264	phylum	0.76	0.57	0.11	0.51	2.56	0.53	0.3	True
FLYE-MetaBinnerRefined-group-group_240416.40	2626	2385	40	genus	0.58	0.53	0.06	0.59	3.04	0.65	0.34	True
FLYE-MetaBinnerRefined-group-group_240416.46	3887	3139	38	phylum	0.78	0.63	0.06	0.68	3.2	0.51	0.32	True
FLYE-MetaBinnerRefined-group-group_240416.49_sub	4570	3880	133	class	0.86	0.73	0.15	0.25	0.72	0.57	0.42	True
FLYE-MetaBinnerRefined-group-group_240416.5	2725	2421	59	order	0.92	0.82	0.16	0.49	1.86	0.66	0.54	True
FLYE-MetaBinnerRefined-group-group_240416.50	3141	2629	51	family	0.53	0.45	0.22	0.21	0.54	0.67	0.3	True
FLYE-MetaBinnerRefined-group-group_240416.51	2294	1922	92	genus	0.51	0.43	0.46	0.08	0.18	0.66	0.28	False
FLYE-MetaBinnerRefined-group-group_240416.57_sub	6846	5790	252	phylum	0.85	0.72	0.37	0.12	0.29	0.56	0.4	True
FLYE-MetaBinnerRefined-group-group_240416.59_sub	1675	1157	31	class	0.82	0.56	0.1	0.68	3.54	0.56	0.32	True
FLYE-MetaBinnerRefined-group-group_240416.62	2480	2143	116	class	0.91	0.79	0.12	0.23	0.64	0.6	0.47	True
FLYE-MetaBinnerRefined-group-group_240416.66	3307	2898	51	phylum	0.88	0.77	0.12	0.03	0.05	0.62	0.48	True
FLYE-MetaBinnerRefined-group-group_240416.69_sub	1815	1336	79	phylum	0.85	0.63	0.42	0.6	3.48	0.58	0.36	True
FLYE-MetaBinnerRefined-group-group_240416.71	2545	1863	101	phylum	0.79	0.58	0.14	0.67	3.41	0.53	0.31	True
FLYE-MetaBinnerRefined-group-group_240416.76	5666	4184	95	phylum	0.84	0.62	0.06	0.65	3.35	0.52	0.32	True
FLYE-MetaBinnerRefined-group-group_240416.77	5833	4797	197	class	0.73	0.6	0.23	0.08	0.16	0.65	0.39	True
FLYE-MetaBinnerRefined-group-group_240416.79	3263	2603	64	class	0.78	0.62	0.05	0.69	5.31	0.56	0.35	True
FLYE-MetaBinnerRefined-group-group_240416.8	2198	1862	7	phylum	0.83	0.7	0.05	0.65	3.09	0.51	0.36	True
FLYE-MetaBinnerRefined-group-group_240416.88_sub	6955	5319	351	class	0.69	0.53	0.65	0.74	4.69	0.63	0.33	False
FLYE-MetaBinnerRefined-group-group_240416.94	3557	3126	38	class	0.9	0.79	0.05	0.16	0.39	0.6	0.47	True
FLYE-MetaBinnerRefined-group-group_240416.96	3967	3148	151	phylum	0.86	0.69	0.14	0.35	1.17	0.55	0.38	True
FLYE-MetaBinnerRefined-group-group_240416.97	6199	5428	156	phylum	0.86	0.75	0.16	0.03	0.06	0.62	0.47	True
